player_name,Team,PDS+
"Misiorowski, Jacob",MIL,119.4
"Skubal, Tarik",DET,113.8
"Sánchez, Cristopher",PHI,112.6
"Sale, Chris",ATL,110.8
"Wheeler, Zack",PHI,109.8
"Cease, Dylan",TOR,109.8
"Luzardo, Jesús",PHI,109.0
"Ashcraft, Braxton",PIT,108.8
"Eovaldi, Nathan",TEX,108.0
"Schlittler, Cam",NYY,107.9
"Harrison, Kyle",MIL,107.4
"Rasmussen, Drew",TB,107.2
"Ohtani, Shohei",LAD,106.9
"deGrom, Jacob",TEX,106.8
"Williams, Gavin",CLE,106.2
"Gilbert, Logan",SEA,105.8
"Skenes, Paul",PIT,105.7
"Tolle, Payton",BOS,105.4
"Drohan, Shane",MIL,105.3
"Yamamoto, Yoshinobu",LAD,104.8
"Woo, Bryan",SEA,104.8
"Suarez, Ranger",BOS,104.4
"Jax, Griffin",TB,104.4
"Mize, Casey",DET,104.1
"Detmers, Reid",LAA,103.9
"Kirby, George",SEA,103.7
"Messick, Parker",CLE,103.7
"Rogers, Trevor",BAL,103.6
"Burke, Sean",CWS,103.6
"Ryan, Joe",MIN,103.4
"Meyer, Max",MIA,103.1
"Burns, Chase",CIN,103.1
"Imanaga, Shota",CHC,103.0
"Cavalli, Cade",WSH,103.0
"Sheehan, Emmet",LAD,102.8
"Webb, Logan",SF,102.7
"Gray, Sonny",BOS,102.6
"Gausman, Kevin",TOR,102.4
"McLean, Nolan",NYM,101.9
"Griffin, Foster",WSH,101.7
"McClanahan, Shane",TB,101.6
"Alcantara, Sandy",MIA,101.6
"Weathers, Ryan",NYY,101.6
"Soroka, Michael",AZ,101.4
"Roupp, Landen",SF,101.3
"Soriano, José",LAA,101.1
"Ureña, Walbert",LAA,101.0
"Young, Brandon",BAL,100.9
"Pallante, Andre",STL,100.9
"Cantillo, Joey",CLE,100.9
"Patrick, Chad",MIL,100.8
"Nola, Aaron",PHI,100.7
"Wrobleski, Justin",LAD,100.6
"Valdez, Framber",DET,100.3
"Yesavage, Trey",TOR,100.1
"Pérez, Eury",MIA,100.0
"May, Dustin",STL,100.0
"Sasaki, Roki",LAD,100.0
"Lambert, Peter",HOU,99.7
"Martin, Davis",CWS,99.5
"Wacha, Michael",KC,99.4
"Warren, Will",NYY,98.9
"Freeland, Kyle",COL,98.9
"Gore, MacKenzie",TEX,98.8
"Phillips, Tyler",MIA,98.8
"Ginn, J.T.",ATH,98.8
"Montero, Keider",DET,98.7
"Castillo, Luis",SEA,98.6
"Peralta, Freddy",NYM,98.4
"Early, Connelly",BOS,98.4
"Elder, Bryce",ATL,98.2
"Hancock, Emerson",SEA,98.1
"Bradish, Kyle",BAL,98.0
"King, Michael",SD,97.9
"Martinez, Nick",TB,97.7
"Bradley, Taj",MIN,97.7
"Peterson, David",NYM,97.7
"Bibee, Tanner",CLE,97.5
"Pérez, Martín",ATL,97.4
"Baz, Shane",BAL,97.4
"Rocker, Kumar",TEX,97.1
"Mlodzinski, Carmen",PIT,97.1
"Burrows, Mike",HOU,97.0
"Mahle, Tyler",SF,96.8
"Cecconi, Slade",CLE,96.7
"Cameron, Noah",KC,96.6
"Manaea, Sean",NYM,96.6
"Buehler, Walker",SD,96.6
"Singer, Brady",CIN,96.5
"Holmes, Grant",ATL,96.4
"Kay, Anthony",CWS,96.3
"Liberatore, Matthew",STL,96.1
"Chandler, Bubba",PIT,95.7
"Keller, Mitch",PIT,95.6
"Ober, Bailey",MIN,95.4
"Flaherty, Jack",DET,95.2
"Rea, Colin",CHC,95.0
"Gallen, Zac",AZ,94.4
"Sproat, Brandon",MIL,94.4
"Nelson, Ryne",AZ,94.3
"Abbott, Andrew",CIN,94.2
"Lugo, Seth",KC,94.2
"Fedde, Erick",CWS,94.1
"Rodriguez, Eduardo",AZ,94.0
"Leahy, Kyle",STL,93.8
"Ray, Robbie",SF,93.8
"Mikolas, Miles",WSH,93.7
"Lowder, Rhett",CIN,93.2
"Springs, Jeffrey",ATH,93.0
"Lorenzen, Michael",COL,92.9
"McGreevy, Michael",STL,92.6
"Houser, Adrian",SF,92.5
"Lauer, Eric",LAD,91.8
"Arrighetti, Spencer",HOU,91.7
"Kelly, Merrill",AZ,91.5
"Littell, Zack",WSH,91.4
"Vásquez, Randy",SD,91.1
"Sugano, Tomoyuki",COL,87.3
